Scenario,Year,Metal,Technology,"Climate change, ecosystem quality, long term","Climate change, ecosystem quality, short term","Climate change, human health, long term","Climate change, human health, short term",Fisheries impact,Freshwater acidification,"Freshwater ecotoxicity, long term","Freshwater ecotoxicity, short term",Freshwater eutrophication,"Human toxicity cancer, long term","Human toxicity cancer, short term","Human toxicity non-cancer, long term","Human toxicity non-cancer, short term","Ionizing radiations, ecosystem quality","Ionizing radiations, human health","Land occupation, biodiversity","Land transformation, biodiversity","Marine acidification, long term","Marine acidification, short term","Marine ecotoxicity, long term","Marine ecotoxicity, short term",Marine eutrophication,Ozone layer depletion,Particulate matter formation,"Photochemical ozone formation, ecosystem quality","Photochemical ozone formation, human health",Terrestrial acidification,"Terrestrial ecotoxicity, long term","Terrestrial ecotoxicity, short term",Thermally polluted water,"Water availability, freshwater ecosystem","Water availability, human health","Water availability, terrestrial ecosystem",Total human health,Total ecosystem quality
NZE,2045,Nickel,Rest of the economy,19969151487.48183,6218973120.5294075,269123.70351459074,83812.9294949623,0.03629001668685763,142300440684.068,46675066786.77134,4570035066.610073,54172443.93500179,4019.6175569983843,11825.041588702647,41143.52865451866,12293.260331282516,53.248156919492374,524.8933301053908,3288232129.7467403,3022783160.3732886,7416854289.470614,805025491.6809708,644708.1604970724,460354.6995512633,160363937.2252673,2.0602677007746992,1555465.8218225145,1862010174.0007856,187.74732348647822,334720443104.75507,23531903148.42891,16802946659.841387,23795407.999060486,2239329.673246812,266619.4015082415,8565118.89239485,2245018.0046215137,611434096293.2249
NZE,2050,Nickel,Rest of the economy,19531803232.425667,6085077150.963234,263229.57315179275,82008.4171994899,0.03269036199296496,141426229089.80005,46597486582.00691,4493695988.0899725,53723682.38667775,3995.5567568416973,11930.500375486747,41050.044535478264,12619.84594322416,52.75622897492668,519.3828584750449,3459077620.529387,3028099461.253828,7257187260.90271,787696180.4884416,640195.0848413665,457393.02643281023,159647641.04627615,2.0822385404367947,1546459.8518382388,1850277470.1399894,186.6678400487453,332692005591.9982,23367176137.802883,16694845589.794205,23774112.73506943,2218885.8708123327,264197.10988893645,8595747.445380468,2226199.031861931,607519704759.3839
NZE,2022,Niobium,Rest of the economy,332046243.1048242,98839405.0331992,4474.97805000833,1332.0559427753863,0.00014964186150901124,10460572.402743984,123018276.44924001,22035458.63881708,28929.84731685311,5.323431088987938,2153.4532139286644,164.21660556246601,72.78825836432718,0.10435486205111275,1.204821522069782,42141834.96408785,81057502.48432884,115694237.55497065,12558313.587007936,100.84991691063496,88.69750471550576,636047.3533282296,0.01747514209784835,987.878940753006,20750019.66562754,2.0933863057561863,75881091.07973601,3681623.792009309,3237458.898089978,363775.7417595316,6352.327309326462,243.24271455341932,39379.842441258224,9437.252928953785,942476719.7450563
NZE,2030,Niobium,Rest of the economy,286235048.0405108,84701758.1493782,3857.581837603034,1141.5232650727153,0.0003755437099719953,11289971.589214003,134593613.57207543,19831337.606935956,36454.78119169352,5.999363425662432,2613.683916241894,189.06559768840546,89.80748760777153,0.09597285203793493,1.1578312559810364,48891318.36081008,103375468.89951134,98089906.74014446,10647196.35618414,119.26568944099324,108.01926687950149,668319.1526423666,0.01620326577660116,962.3476506958878,20776990.23389835,2.0986811495646953,82443361.57829344,4353880.468700115,3942703.2067943537,351378.0431253458,5956.521131588734,238.78074203079277,38720.03188298408,9102.062686017804,910273617.3602028
NZE,2035,Niobium,Rest of the economy,286467314.62789243,84562446.95306574,3860.7120873440604,1139.6457720504877,0.00045436551723271903,12348618.059496516,149978756.75606954,20509665.568199813,44250.42276573418,6.747363789259047,2946.7979119147094,214.52314715500225,103.63651504406485,0.08380199795695574,1.042210625766022,57534229.0356456,118558839.36928394,97435440.17685425,10576095.025625402,134.2104313383316,125.30543492870473,739621.3251624457,0.01659682914515989,1026.6073025298226,22330271.9976885,2.258125725382961,90727412.48176959,4899442.558727435,4573648.331384558,318685.4902722368,5492.976012759449,227.8986718417635,42316.03112195936,9529.885829564395,961652813.5511677
NZE,2040,Niobium,Rest of the economy,306308151.7298352,90331353.77453676,4128.106500717506,1217.3931706689339,0.0005055847681066638,13654570.889992965,168546589.14682895,22398679.78446446,53867.64421835884,7.618176849010052,3290.062503863038,243.5596604618355,118.21300929640708,0.07625023169290904,0.9738985455727508,72685036.53797969,132117204.90053453,103875340.4811976,11275130.944191918,150.60468287871726,144.91250419059796,834723.6280627412,0.020860147675242805,1144.8640605357755,24769273.703477513,2.506640114363204,100957415.00562808,5497924.452962555,5289306.348685984,307690.7925163896,5381.070623282948,229.2764017602281,47926.43593663828,10382.595022520924,1058955870.1408113
NZE,2045,Niobium,Rest of the economy,329313921.9303797,97063014.23975112,4438.154630040604,1308.1155736744545,0.0005070698903562443,15196275.44009665,189514669.16356096,24361624.583062734,64068.4747669997,8.503223513502618,3675.4020425166595,272.99630964946476,132.4314229172826,0.07344448726620431,0.9600522038495142,91045400.46850021,146933334.97889772,111367196.24175608,12088346.931041429,168.9814806497358,167.14385756305384,942498.3752258827,0.023504096451182257,1284.880733681738,27597573.46256349,2.7952412755204636,112627062.92958336,6168781.405825859,6100750.7341982685,316646.94008925237,5568.182932640095,241.0750639349237,54647.74288618685,11365.337953644514,1170761726.2982163
NZE,2050,Niobium,Rest of the economy,357194427.3152813,105250031.65019825,4813.899430859536,1418.4517821938334,0.000505293035904434,16856944.61269477,211683450.47744387,26409204.63170737,73402.87322062855,9.40590082562111,4083.425397155692,302.58888177076733,146.23511502753865,0.07435323369051475,0.9853809740146223,106441078.37994024,162837470.5643021,120571557.71685141,13087435.833038796,187.76400590772695,189.41744400828313,1053804.862383161,0.02588551830900198,1431.0862291772205,30629214.183828775,3.1037060311468303,125007537.36853036,6854452.1630355595,6913736.627176091,332209.56703538925,5869.761727318965,258.3849209663265,61705.34248990542,12467.59280416103,1291263919.7766125
NZE,2022,PGMs,Rest of the economy,1890345693.982477,586963209.8005824,25476.136751339145,7910.487009337675,0.0010451034710547112,5955923987.838042,37975801701.043045,94169553.33143286,242503.4198022685,28.896433534220716,374.1569330593786,866.5520888838109,333.37905657408106,0.2534562719195311,4.576786081862717,121960412.86715114,3421110095.281274,669816226.6129669,72708584.88557218,509.9270815702389,639.5636718450872,34169133.0680913,0.13591581406865239,72154.8405286566,842587060.1443309,85.33384682446517,14931970163.547485,18615244.749674544,23344073.716574654,837081.0863823531,24407.842319631753,798.2387150884497,1052540.457218228,108032.7339151353,66641642400.71135
NZE,2030,PGMs,Rest of the economy,1226257452.9534118,400581391.7335055,16526.237856973934,5398.624369514866,0.002646553438892629,7218571062.570719,45829464948.47586,94878839.74409503,260750.49729560912,19.90150714863934,444.1312680139238,634.2152971231772,374.2670417078891,0.24033174269489557,4.023272309775178,165653820.03763214,4163816158.9049225,424399685.3674087,46067725.764994584,604.393312135029,799.2648586141036,40848540.67536046,0.13446332298093722,84986.031075242,981918877.8598685,99.40675632085373,17918212143.670715,22062861.93123478,29173166.917861212,936601.139603704,25887.274914569047,855.6316566484406,1245469.537177224,109342.60440225308,78564376249.61418
