Scenario,Year,Metal,Technology,"Climate change, ecosystem quality, long term","Climate change, ecosystem quality, short term","Climate change, human health, long term","Climate change, human health, short term",Fisheries impact,Freshwater acidification,"Freshwater ecotoxicity, long term","Freshwater ecotoxicity, short term",Freshwater eutrophication,"Human toxicity cancer, long term","Human toxicity cancer, short term","Human toxicity non-cancer, long term","Human toxicity non-cancer, short term","Ionizing radiations, ecosystem quality","Ionizing radiations, human health","Land occupation, biodiversity","Land transformation, biodiversity","Marine acidification, long term","Marine acidification, short term","Marine ecotoxicity, long term","Marine ecotoxicity, short term",Marine eutrophication,Ozone layer depletion,Particulate matter formation,"Photochemical ozone formation, ecosystem quality","Photochemical ozone formation, human health",Terrestrial acidification,"Terrestrial ecotoxicity, long term","Terrestrial ecotoxicity, short term",Thermally polluted water,"Water availability, freshwater ecosystem","Water availability, human health","Water availability, terrestrial ecosystem",Total human health,Total ecosystem quality
SPS,2050,Copper,Battery Storage,233345364.2412386,73207793.0680576,3144.7890345261435,986.619410279478,0.0005593673499331625,343113616.37832344,4785292445.756934,44057535.13754712,162693.07207025884,503.84922550451694,1092.91232266634,17573.26999201185,12218.53784834578,0.20935683098704957,2.485577610107062,149540196.59787118,280226717.1080175,82076047.56007506,8909136.376074111,4254.632543865054,5238.119884229824,5723501.277573145,0.017748620205280927,9576.467182103603,106334400.82731782,10.857566061218124,1722885342.6178455,155299564.42068785,191191373.64553314,735658.3570043081,13249.15253882708,1009.0699440236932,59842.1080640881,46118.875692182846,8182183936.1278715
SPS,2022,Copper,Electricity Networks,9796357987.95439,3017804330.90715,132025.24624512377,40670.86586600487,0.008359884885882374,7436527105.51991,98747259572.19734,1337048892.5785816,3283680.2214066205,10307.301955595707,22162.368328378154,358482.2425300684,249136.2140925764,6.017825786021742,75.76422940628511,2941699947.0431886,5688920870.189929,3497085393.702117,379607321.62117267,83183.6264431258,104162.25666369942,122875717.10545401,0.4472615454075626,216798.0433097865,2366400140.990806,241.613121748109,36599497387.46847,3036316984.061191,3801922324.131953,16773143.621737504,314006.19607318833,21116.60948277389,1775247.5985138186,1051016.7130830968,178791656743.9207
SPS,2025,Copper,Electricity Networks,9943504752.714224,3069032080.1015387,134008.33913454224,41361.26082745065,0.011185878269873772,8054946447.563849,108549448673.60277,1407861116.1124866,3601849.065726228,11333.66876907737,24398.241381541204,394183.94715260534,274094.2616363569,6.494058676287174,81.52837494011416,3232040052.4702377,6262517359.898204,3545344725.3781533,384844989.27459127,91216.30428412718,114415.36953612277,133949798.31451884,0.4830620246077112,233657.4818712726,2563946981.110081,261.74033670738953,39887567370.2375,3329520740.7899084,4176160939.4506593,18211610.756844126,339925.19616702903,23182.317273147695,1842016.9414122468,1136563.2661621312,194564886333.53403
SPS,2030,Copper,Electricity Networks,12337912408.255262,3823210891.4908695,166277.70503185753,51525.307889930526,0.016957907889738662,11184895438.600254,154843151062.40707,1885543350.0252986,5145594.373887792,16176.915075883966,34882.321503114596,562685.8834594531,391546.14452239743,8.789155390957875,108.90198227218376,4612096424.273274,8969465677.934164,4388188547.767367,476333179.6517976,129843.14734072999,163198.12017066748,188937982.5355798,0.6520241642550556,323515.63043431554,3582397253.9459424,365.65396635657413,56066065773.931274,4739453353.178483,5956731316.587572,25048938.643571954,466773.2242656793,32922.43135686867,2391385.3518388877,1580007.5420483057,273087727342.44452
SPS,2035,Copper,Electricity Networks,10737977931.513481,3339975217.745472,144715.43224621756,45012.75401521383,0.01661468658728483,11019203784.342497,153082679096.36206,1752315923.5012317,5106717.715492836,16015.707728133728,34627.530511238554,557318.3766183506,387889.52403634007,8.172063783492632,99.77981875625296,4571099654.429843,8900030774.993599,3809389588.5483823,413503721.59517634,129345.11082096801,162228.23064369007,185489119.1123265,0.6097821663563363,314700.5057901815,3492515923.788255,356.473310774632,55266638120.12527,4721272507.3841915,5921330349.619669,24082491.259723395,447440.36497390096,32456.97815910326,2194916.423894422,1533193.6668924992,267245543789.53455
SPS,2040,Copper,Electricity Networks,9401254222.222383,2934770483.4485893,126700.44370946039,39551.82096427858,0.016900306856847652,10990032966.253859,153012078917.8742,1627981516.026719,5135970.838317374,16029.668058335656,34717.33395868617,558029.9796447066,388433.3108142366,7.647890556143319,92.25932070044485,4621515399.150468,8921853539.09823,3325428541.2143683,360969157.3619255,130266.93088012497,163033.6235063825,184462143.77555943,0.6151217637401801,310534.1117372051,3453909798.8552713,352.5680664747895,55130108582.7915,4754918412.788313,5950727189.126987,23795527.58427978,437567.19199640123,32389.64997358628,2054960.2890572697,1506831.756259744,264701727114.80328
SPS,2045,Copper,Electricity Networks,8657798768.364418,2710954508.608269,116680.91507867826,36535.45922997526,0.01973360046491034,11493191363.213572,160091922830.62988,1577068627.0376387,5409176.260928033,16815.636765386993,36458.789937902584,585937.6295346952,407658.02337346534,7.450062686116608,88.95792755802785,4913161068.274499,9359949795.99429,3053307516.9392314,331429537.845295,139250.272617448,172874.7516249262,192190627.11959088,0.6118722274789815,322006.1320396852,3582464437.5109224,365.74436720815277,57659034630.869446,5082818255.255146,6309928362.650143,24730409.585076157,449783.7319264939,33827.537473028766,2051410.967993752,1556375.4322582346,275048172091.82153
SPS,2050,Copper,Electricity Networks,7415175418.474435,2326374168.0242324,99934.11448704952,31352.48057009049,0.01777539929541287,10903356328.442469,152065514690.5096,1400046461.6591594,5170009.152289275,16011.161840421142,34730.22322914017,558437.8335121514,388276.8436277408,6.652875371545631,78.98590167028956,4752041222.211645,8904956269.672974,2608186763.3925242,283111726.9910859,135202.3716284053,166455.32226818815,181879619.16051254,0.5640100573070532,304317.9549568803,3379061065.6305013,345.0283112475851,54749307246.670456,4935060597.139392,6075619195.13877,23377519.33916326,421027.3923418554,32065.90655347471,1901643.643744161,1465551.0919291584,260010861539.4962
SPS,2022,Dysprosium,Wind,125764788.08698459,38753196.989749886,1694.9285781085505,522.2757687830779,5.282503630812298e-05,4620506.616941699,121002266.7045427,13380810.038800478,196235.87098157807,2.982759687202338,134.93251021092428,105.35161711667092,120.84798727195104,1.459799333100161,8.172006341347105,87279602.54166725,147009060.35077906,45280083.66297559,4915184.227327105,277.86773323894033,214.30939843877294,152055554.0950381,0.015566690166281098,358.7325318786306,6452923.285977946,0.6502336968430721,33734425.133087866,10143093.335703997,7822293.001258927,56120.65941058452,1854.7462895253386,91.03636250506653,230075.64199333373,3039.925924335482,798698571.2463229
SPS,2025,Dysprosium,Wind,130493735.32376927,40236894.4549588,1758.6604695112605,542.2715186548139,6.93338789459031e-05,4850401.957999854,129700079.6952725,13956011.586825263,211403.18651847634,3.177581327473758,145.5096886464857,112.56810257839454,130.23568475408837,1.571971151294826,8.79079241877342,94048650.87149253,158445194.82353592,46971816.604816705,5098819.494259156,299.25580339437437,230.94231664849937,163847363.2301322,0.01672702960141011,365.9618270029498,6734493.155777471,0.6780223219208227,35448193.414976224,10923826.42890905,8429394.512495754,59040.53059622637,1963.2479925987357,97.97447504970233,247168.2460600027,3165.844891597881,849704985.2768854
SPS,2030,Dysprosium,Wind,191987489.19771004,59283073.036434,2587.4100933404716,798.9563429208312,0.00011557516885823556,7230737.345094496,201821619.39821902,20811500.94567135,331710.4420645926,4.895475462243453,228.5245056075198,174.3242858250928,204.4332019208397,2.4629480399300236,13.737888295206819,147650907.03483278,248751140.83134842,69074955.13183694,7498120.51052397,469.1087341071633,362.5097127578705,257074608.65138903,0.026014291199513505,528.0223618420675,10073371.573261315,1.0129097997565768,53133171.45795031,17124014.485973462,13231604.444234908,87578.91540448541,2966.8855284978727,153.4139068023847,385913.0877042426,4694.756989851053,1305555321.5277784
SPS,2035,Dysprosium,Wind,163821436.63582328,50649217.99679109,2207.816980317438,682.5981162560512,0.00010344723055331646,6272333.323503677,181379153.39702475,17840402.3443081,300353.07376669854,4.353632727961772,207.30418736187153,155.7592160964166,184.85748996174408,2.226901267092544,12.391328533143618,133800251.06921187,225282128.0169633,58915703.3040797,6395324.769373796,424.32544805330735,328.45185801659204,232740329.6184488,0.023369674926981207,446.59841676956614,8775992.554746343,0.8817105366740773,46258656.36897807,15489272.679095995,11988492.75231714,76432.36211832108,2610.8292552067264,138.8055068650315,348008.360091862,4041.3899586383927,1160336857.9792724
