Scenario,Year,Metal,Technology,"Climate change, long term","Climate change, short term",Fossil and nuclear energy use,Freshwater acidification,Freshwater ecotoxicity,Freshwater eutrophication,Human toxicity cancer,Human toxicity non-cancer,Ionizing radiations,"Land occupation, biodiversity","Land transformation, biodiversity",Marine eutrophication,Mineral resources use,Ozone layer depletion,Particulate matter formation,Photochemical ozone formation,Terrestrial acidification,Water scarcity
NZE,2040,Boron,Rest of the economy,7339127869.434729,7812390220.473231,129232147793.54257,144144335.34968975,5428895432409.956,571745.2249628656,242.30041516320318,4840.2682179786125,73822477586.06047,931268483.6195152,3070470.306436998,2072325.8283865151,513295980.40936077,310.46875246873253,12236672.109642982,53109058.67858383,171954138.62817073,7049056774.618838
NZE,2045,Boron,Rest of the economy,7676482402.587129,8168609230.258812,135373118338.03311,160949366.75249353,6144312418686.276,655801.5519709764,271.0061513068401,5439.477139266014,77439819992.135,1253250829.1810453,3418901.873859711,2326968.687606612,581280410.4373237,358.1577247995899,13745457.150811585,59047950.643074125,191911420.40143842,7896193834.031915
NZE,2050,Boron,Rest of the economy,8163868613.119665,8685900192.046785,144661850480.2703,179092390.76182228,6971839161892.488,737315.9938160519,301.94560592809444,6070.309438842905,87157031471.91536,1468633542.1372364,3851022.909053725,2603184.9324233285,650603653.2865865,400.51285018421885,15353771.051545646,65639961.00742094,213489516.93321955,8863201545.365398
NZE,2022,Cadmium,Rest of the economy,119955729.66724779,129040391.33863366,1766694308.828352,815457.370558182,77499045330.61151,1337.943047367825,33.80476188406546,105.70043741644015,2696670644.187409,5017014.218373659,29822.837288272578,22140.668808423878,14469222.249380948,1.7574706923528822,100944.33982399042,496346.85144511843,846627.9101925439,97646325.77206276
NZE,2030,Cadmium,Rest of the economy,56335041.32316697,60606238.21878396,1076258475.289207,737738.8173961181,78957981461.93343,1555.6641323859908,41.00098253632374,125.80861913023165,2668100934.4053884,6399259.101061502,40358.77694722266,22121.45623265982,17520364.32934546,1.3182864279220083,55883.884030156376,472043.25145669666,703128.3416108126,108435600.92867123
NZE,2035,Cadmium,Rest of the economy,41467510.1570978,44752126.829719685,855288693.3905673,761824.7482503224,86281930327.81786,1882.9879961798752,46.226906220936826,141.61731688714727,2380747873.7211604,8516571.422073158,46557.90702118723,24033.290930050545,19762465.90693926,1.210890187298531,50004.68256667729,502733.5255447271,719836.8027665918,116855448.44011652
NZE,2040,Cadmium,Rest of the economy,39866244.79875523,43051911.88776822,805287297.344341,827779.2601609731,95870018725.24332,2276.165264120057,51.61304592213183,158.30275683956623,2157240558.8348827,11397663.118467897,51496.74277821115,26752.82151856571,22084936.663610123,1.5634869928753699,54162.41018006872,554001.2169552334,781163.0809776327,127203922.08932826
NZE,2045,Cadmium,Rest of the economy,40152385.61694879,43393718.80356389,789078634.0075502,914895.8930477144,106862037523.34451,2643.7287463464504,57.653221384948125,176.59030551327112,2023045097.3607602,14072520.099271731,56871.47950207364,29877.77215499796,24714832.02102855,1.7829488862206961,60030.093688052606,615488.2818249789,860692.8467577449,140237199.79833496
NZE,2050,Cadmium,Rest of the economy,42008646.81584244,45424389.67427164,807951715.167132,1013027.3034575599,118858477253.66676,2971.191894538766,64.0545601297803,195.87830955208472,1989556847.299914,15945193.701197539,62799.312940838536,33200.85784485921,27479149.228667818,1.9738184332062993,66420.20742466486,682201.6507747745,950359.4628697862,154866428.47662255
NZE,2022,Chromium,Rest of the economy,63208862221.26208,68564612915.01036,814490751373.2828,319244947.5000807,40753558036052.086,3923296.851913538,14098.420117525417,2568.8884658464503,764861185497.0884,1206777644.627318,7900108.651709166,6021852.092701995,15195080187.29225,433.5839300639636,129681947.2368395,115611390.37256609,370733132.42287457,9130386878.503155
NZE,2030,Chromium,Rest of the economy,50744786726.326065,55265850992.61992,667523600549.3384,235294543.87762612,45282169449890.766,4744943.337704883,17100.793445444462,2393.184396765162,892677280015.9141,1565121370.3556752,10192447.347965395,6111126.546384746,18430051671.64063,362.85567213570494,122177858.09170589,102002610.72614124,272526279.1428102,9185890423.47109
NZE,2035,Chromium,Rest of the economy,47855903214.24331,52250805330.98285,595095991160.9823,176517495.37698975,50122149946329.93,5391434.0650765095,19282.98077480112,2661.0157425721745,849543069635.8378,2130936901.524216,11608446.14147419,6639050.283349096,20794102690.60611,339.0563977543795,125342362.51751228,102482760.01836354,226320797.51151422,9442164877.080688
NZE,2040,Chromium,Rest of the economy,50107747338.39085,54762892870.215416,587990451265.5028,138179821.61051303,55801334331000.91,6069921.52769682,21533.816696118014,3080.5479335008117,756267493968.2721,2843550761.3698473,12753612.426883692,7404721.121512433,23239615928.220955,505.6537283610493,135765234.13122594,110436843.19450717,207372889.03403395,9849075516.392262
NZE,2045,Chromium,Rest of the economy,54553885323.49935,59641704735.886826,614553287704.9812,137393211.2278211,62356287416113.09,6801041.742144147,24058.488802235795,3527.9438622930425,699143484490.9105,3398036935.4368825,14088670.651328852,8283336.209386573,25986669527.347073,590.9495213283727,150734434.20234683,121938529.85624991,218998543.74251932,10654884651.64825
NZE,2050,Chromium,Rest of the economy,60153584135.37333,65770382071.10663,661845062760.3711,152606488.90262264,69362773106159.664,7559410.9045583755,26732.159372284117,3959.9049328749766,674464792581.1224,3779714573.0274763,15577783.958283138,9206153.059320364,28885325357.495026,644.9524943023125,167409041.74016842,134982934.9202578,243329962.2633139,11658576587.041859
NZE,2022,Cobalt,Rest of the economy,1378833840.7502472,1463975491.4406486,15370302609.656265,5998591.331354336,357179783149.3796,58760.71775206929,36.15255029457091,161.2148522126035,8194215342.304876,29616053.823806614,248020.69457278398,137145.42061263908,96012532.1114293,50.20406766548926,2402701.8810586906,4889242.398035933,9285107.812944844,968440697.0691439
NZE,2030,Cobalt,Rest of the economy,1350040725.9430485,1422806242.9619572,15537827784.976126,6944168.775838636,368269228062.5404,71792.24439967528,43.94936688315684,190.21976658132445,10725897308.656616,39079087.55395744,317278.5438036373,146195.4014719044,117029116.84751388,60.873792733507514,2480241.664050015,4953824.650065815,10163638.487359162,1166223513.6433573
NZE,2035,Cobalt,Rest of the economy,1372732704.2120657,1444628360.9748075,15730023527.131428,7488747.293074787,395442379310.23755,79738.49752717663,47.758416702702625,212.10134347237158,11604715353.410233,56754965.23557519,342866.9973952593,154555.5915500748,128122238.06273592,66.24517031778093,2533246.287560917,4898605.572792842,10790567.001341356,1268605571.4955735
NZE,2040,Cobalt,Rest of the economy,1366926827.7484913,1437566469.6002598,15443346805.381258,7788200.723933817,419953605242.33124,86231.47722627246,49.77398994537496,229.94115232291583,12036677078.496151,91330019.04677382,346023.7287705548,160655.94140450456,134557800.97038972,76.81769308217702,2552378.143878878,4753218.129630265,11141446.457960822,1321883968.905501
NZE,2045,Cobalt,Rest of the economy,1330178338.2037923,1397823243.472726,14640629015.471693,8114897.946680691,454226587503.98645,94344.26120228894,51.91605175731512,248.24171694579564,12480116380.716423,149232934.6748787,356291.74881951243,168631.23640211453,141098851.18674803,80.78190390896255,2613839.366604452,4740747.610568581,11534389.404814858,1384254882.380318
NZE,2050,Cobalt,Rest of the economy,1286365479.4656847,1350764895.0554388,13733326202.720867,8579345.618310763,518608114381.873,102152.47526159642,54.680541400242646,272.59964810013935,13054989137.993824,194144350.91602227,392317.8807676294,178622.21068588394,148462257.2541308,83.1529572662642,2685372.2356608664,4769450.354279705,12092911.22251503,1488022841.7307065
