Scenario,Year,Metal,Technology,"Climate change, long term","Climate change, short term",Fossil and nuclear energy use,Freshwater acidification,Freshwater ecotoxicity,Freshwater eutrophication,Human toxicity cancer,Human toxicity non-cancer,Ionizing radiations,"Land occupation, biodiversity","Land transformation, biodiversity",Marine eutrophication,Mineral resources use,Ozone layer depletion,Particulate matter formation,Photochemical ozone formation,Terrestrial acidification,Water scarcity
SPS,2030,Copper,Solar PV,4272251973.376466,4605747899.14758,59912855560.99321,365142865.5348139,39128625015682.42,222747.97056068786,618.7384737461136,49251.88885631026,72269797732.23453,988071864.7999169,8212098.225305961,2964016.248394248,731200252.0915449,67.7874996891156,28018088.68009164,55996333.775015,376291764.37847614,8115149058.96875
SPS,2040,Copper,Solar PV,3422610319.4454913,3695164062.507661,48465265190.121925,374837414.6361542,40351782210862.72,234417.25059495907,642.7480346676148,51058.77625999901,63988281521.32667,1030258185.8131719,8694201.3657851,3027500.1229914934,757184505.2227769,66.83584429081698,28536589.433079153,56432727.66586616,386285758.1040353,7951216904.65918
SPS,2050,Copper,Solar PV,3369587662.6684704,3629301086.285727,47889845269.31747,461937024.80119896,49677855499165.25,294722.51206310926,797.2718776560242,63357.74827532453,67957784671.833694,1308610684.5677629,10861338.598079123,3710193.2847820558,936894039.4901979,76.01371403600116,34999914.040133886,68510610.39588614,475998294.2677783,9491055406.750488
SPS,2022,Copper,Wind,2283032400.488595,2455821427.2602797,31118740177.004906,159968268.097435,16885323206932.865,95431.1644966104,265.8913160366711,21193.040603059013,33977955142.559544,427365802.6680124,3464889.304909428,1301001.5693770405,315383690.7455046,31.424231491904838,12452175.338320622,25003630.152498845,164816460.2481754,3689112638.796875
SPS,2030,Copper,Wind,3043583739.367156,3281168690.6171103,42682359116.65494,260130463.98322928,27875520354059.363,158687.29311856144,440.79384112875687,35087.40799707862,51485535636.92154,703909666.3239387,5850359.197066175,2111586.9834107826,520912439.4711552,48.292313532034285,19960292.52166949,39892200.18011177,268073021.54862532,5781291897.644043
SPS,2040,Copper,Wind,1900172979.577538,2051490018.2444935,26907061794.06654,208103131.98077458,22402598916753.508,130144.32960617152,356.84239050323504,28346.93347014272,35525167111.66956,571981202.6359859,4826867.499466761,1680814.756121035,420375503.8090963,37.10608381769795,15843011.943825414,31330456.659147173,214459050.67680517,4414375610.085205
SPS,2050,Copper,Wind,1924638520.440873,2072981436.3730567,27353685426.98455,263848838.7763638,28374959751268.535,168339.38046548725,455.385145191868,36188.630511104566,38816075804.25961,747451256.3311867,6203771.126363795,2119185.3808360673,535134425.48228526,43.41745541637183,19991224.303217873,39131838.38120332,271880343.9844063,5421093814.492676
SPS,2022,Copper,EV,2164408543.3599687,2328219641.9950333,29501844600.757355,151656492.50640833,16007980350457.752,90472.66595736859,252.07589516111693,20091.873479859005,32212497895.65784,405160344.7399942,3284857.460515054,1233402.9561217558,298996700.41471136,29.791462922315134,11805173.978218392,23704468.979721673,156252777.91552806,3497430396.133301
SPS,2030,Copper,EV,4916857913.216294,5300672372.63292,68952627280.46394,420236352.8760717,45032430376427.516,256356.63077208606,712.0949746897963,56683.112553543884,83174009651.2715,1137154127.9734702,9451156.063553425,3411232.9601900824,841525211.5386529,78.01541349635292,32245514.051697772,64445172.83824569,433067419.92097354,9339579012.690918
SPS,2040,Copper,EV,5073268014.909941,5477269071.98772,71839110145.32607,555614133.3592534,59812653772442.52,347472.0837571754,952.7327804158974,75683.42063617206,94848572192.63998,1527131462.0566926,12887243.82487401,4487603.935465578,1122359711.79871,99.06945852516411,42299225.71171144,83649123.19546412,572583787.8972888,11785932559.368164
SPS,2050,Copper,EV,3594492135.4054313,3871540235.0866103,51086272095.98172,492769195.7969583,52993623781891.8,314393.88370113703,850.4861071769844,67586.58645856327,72493654119.3989,1395954426.7387521,11586282.975600988,3957831.6156410007,999427405.9006968,81.0872797026401,37335997.2648693,73083378.41693583,507768990.30339044,10124539686.045898
SPS,2022,Copper,Battery Storage,118541531.78914304,127513229.21467547,1615773445.50215,8306007.191955752,876733977702.7349,4955.057325261293,13.80583292890309,1100.402909664564,1764232013.8775957,22190047.268589273,179906.90171365126,67551.69959963257,16375617.706645094,1.6316354229356635,646552.3390713221,1298259.5507326557,8557739.109485207,191549214.56713867
SPS,2030,Copper,Battery Storage,389565891.3160737,419975763.7634205,5463162080.176496,33295603.058111288,3567949122663.6836,20311.304724318637,56.41975391866988,4491.040346139716,6589931573.380405,90097470.62996955,748821.3206179627,270274.2344966278,66674596.84299849,6.181212601935485,2554833.3192076203,5106033.495551469,34312216.95220973,739980997.380249
SPS,2040,Copper,Battery Storage,804109910.3285415,868143833.3983862,11386455485.353605,88064503.91340321,9480269427934.93,55074.11500644208,151.007569159716,11995.776371808703,15033441295.91933,242049412.60847256,2042620.3476627138,711282.508145056,177893335.13594157,15.70244922539952,6704401.678375507,13258335.407095531,90754183.88867418,1868063178.5255127
SPS,2050,Copper,Battery Storage,586829478.3001502,632059787.8057841,8340240922.241737,80448497.08908792,8651631280771.831,51327.306279468794,138.8486327902068,11034.048699370187,11835166589.44089,227900681.68600658,1891553.0032848318,646147.5431617487,163164486.41705713,13.23814443102446,6095399.008095975,11931443.779326973,82897333.04510988,1652911765.6065674
SPS,2022,Copper,Electricity Networks,24243131186.532795,26077948354.57771,330444587781.27924,1698675721.0885804,179302363621766.34,1013367.2389755801,2823.4544786387355,225045.27902079702,360806103231.34607,4538124477.121392,36793067.82845343,13815113.492713707,3349005553.8413925,333.68854788534185,132227523.45521207,265509278.71056527,1750157845.609794,39174057120.265625
SPS,2030,Copper,Electricity Networks,30656783792.897892,33049880584.91532,429922081093.1872,2620188591.8664618,280778803472845.97,1598392.7016338562,4439.9374690886725,353421.22081493767,518592905484.1216,7090196392.858513,58928293.871270716,21269158.713465143,5246939594.709057,486.42887516485473,201051925.84812877,401817942.4887371,2700190750.8002,58232606994.73828
SPS,2040,Copper,Electricity Networks,23497902686.075615,25369118142.53988,332737875130.5935,2573443153.0749187,277034825207384.0,1609389.6845698133,4412.781286983589,350543.6038134612,439311014664.66364,7073229007.178633,59689967.17670823,20785276.918016694,5198443923.938067,458.86093317855864,195917717.44544518,387438422.50121254,2652041659.950404,54589013537.41406
SPS,2050,Copper,Electricity Networks,18648082152.722073,20085396668.511784,265033546613.87448,2556466977.6404963,274928811255751.62,1631062.9570791556,4412.288078242328,350636.5208834108,376094192627.04535,7242156012.769838,60109174.99178854,20533072.916791733,5184989608.779862,420.67758016252554,193697667.99352297,379153658.81410444,2634285314.6107464,52525708976.87891
SPS,2022,Dysprosium,Wind,309687692.30741745,336455950.46743107,3916923101.646569,1689398.4005743437,237331935001.8099,152632.23566841305,11.992421210907702,83.77326793385292,38916348666.07866,129475556.03214656,923695.405953047,17374023.80147075,13792951306.250198,11.617011602500668,250575.84132903244,714444.07752992,1835980.906018401,231389369.0200882
SPS,2030,Dysprosium,Wind,473345007.61637557,514996548.09899926,6028548705.538456,2662463.333456208,393053653568.2207,258112.54800500587,20.297033804273234,140.2718728261838,65419936746.33875,218978413.55997455,1569987.894902518,29374139.10280366,23321699707.516685,19.413602385954025,381175.16123629163,1112963.554487305,2904503.852716111,370161053.9949646
SPS,2040,Dysprosium,Wind,338527355.6575709,368713715.4929566,4309315412.037483,1998128.4253154153,307587043776.33746,206916.23412927825,16.3002646174951,111.04484239944489,52054096229.603806,175910618.80057913,1264905.2754910537,23534954.49836556,18686974773.98498,15.531675924632605,281924.4060750085,830547.4554489752,2188371.956409861,282496179.74772644
SPS,2050,Dysprosium,Wind,431358151.26012295,469433149.75834143,5505717634.63784,2688476.273366175,419500621553.59753,288370.491621147,22.701980700913655,152.2587832694412,72179994789.37686,246166980.62921742,1766429.3939865083,32787599.509109404,26034738393.02785,21.490118772637672,372183.96315271466,1104928.6995950446,2950384.9828470238,382789344.0491638
SPS,2022,Dysprosium,EV,203430105.184025,221013850.70685047,2572979483.3910255,1109745.4075940703,155900482002.42917,100262.27237237379,7.8776766689337805,55.02964803159215,25563679471.83336,85050929.16716103,606764.3573141926,11412786.420631984,9060423144.757341,7.631074630743886,164600.24413091526,469309.68666246213,1206033.685240641,151996882.17350006
SPS,2030,Dysprosium,EV,537717004.6783711,585032897.3743554,6848394089.596105,3024541.900085596,446506522460.00775,293214.26010610425,23.057305021657257,159.34798103511574,74316644028.06894,248758125.11816084,1783496.5503903318,33368840.569174226,26493306803.602757,22.053732387629644,433012.6285474372,1264319.7228355054,3299498.434818318,420500670.75819397
SPS,2040,Dysprosium,EV,731958780.9774832,797227276.3531021,9317537277.64618,4320323.371177319,665060101774.2383,447391.18409952027,35.24418815683391,240.09949600271395,112550587668.44951,380351306.7597152,2734959.2522649234,50886926.32098415,40404697130.47046,33.58235719015538,609572.7306811623,1795797.2756839872,4731665.08634907,610809011.1577454
SPS,2050,Dysprosium,EV,813176519.9018892,884953753.4689443,10379125310.645657,5068191.648698792,790823251015.656,543622.7694639569,42.796728443220694,287.03124571042883,136070401817.83124,464062654.288661,3329991.3379592393,61809672.51196391,49079489749.18458,40.51218215017235,701624.0658387579,2082960.6953100027,5561929.885209361,721616841.4571838
SPS,2022,Ferromanganese,Wind,215062287.08758375,228474134.04974377,2096545341.7192874,1151370.4477731052,114229174766.15381,1384.439914758063,181.56554032549957,15.529910264077667,1114235141.2739382,6418511.707729013,49555.8468261574,31735.735305329676,135431942.11092398,1.2351448024728924,321093.2579636133,1041380.1468503248,1218653.776206819,44363221.28164673
SPS,2030,Ferromanganese,Wind,279348538.2234865,296510379.89266896,2652710184.2747946,1539897.0712528802,158609049083.78668,1998.2866677106233,259.1149806755011,21.453031862407556,1303259408.019863,9286433.193747655,75207.60442288854,43153.94612911626,193187245.07590228,1.6046042849827888,432073.49746768473,1413377.525650594,1631591.880955603,52781717.74145508
SPS,2040,Ferromanganese,Wind,230411730.72370836,244073579.75430733,2088474065.8180358,1352956.429657186,139975751039.72327,1896.9165862128684,234.46617341170142,19.199477774838396,878776617.1326258,8959429.914582364,72335.98685192323,38069.26792543834,174782008.78583604,1.5177116459095201,363846.33335778734,1241764.5948475883,1433853.242381672,40750310.036987305
SPS,2050,Ferromanganese,Wind,291350124.10486746,307671037.8297203,2543631508.503023,1810820.879890563,187233748684.11984,2701.8251516650275,319.6014962063346,25.976191097342813,930389465.83526,13301936.003367828,101617.43672662681,51506.30330279169,238245976.17967427,1.9898561993438681,490177.1119052663,1672882.5421622796,1920153.242631969,51364645.812561035
SPS,2022,Ferromanganese,EV,101313193.10557207,107631348.92722172,987656673.499856,542396.4289181982,53811956517.789825,652.1925825601581,85.53328850642977,7.3159493410201915,524902443.6670668,3023681.7663466036,23345.148733417747,14950.313803864492,63800318.91950837,0.5818614950157137,151263.07680210163,490581.35362983966,574092.7757705607,20898966.83102417
SPS,2030,Ferromanganese,EV,186406501.5115313,197858427.78754345,1770127125.487501,1027558.0017907874,105838241129.88942,1333.4368209475904,172.90484977697,14.315394817235688,869652042.4123999,6196744.519143205,50185.28651228554,28796.199097738256,128911927.44470203,1.0707364820171814,288318.3480071311,943132.7672127434,1088745.0364255467,35220715.34918213
SPS,2040,Ferromanganese,EV,581635196.5466937,616122209.0835342,5271997306.4711485,3415308.22415632,353344958661.79126,4788.443053611765,591.8699470184297,48.46581375907705,2218321996.1117234,22616555.862614512,182599.88672394585,96099.38722587247,441207432.0767882,3.8312047251115042,918468.1394069977,3134623.3627964607,3619518.4586839564,102867221.70153809
SPS,2050,Ferromanganese,EV,1028453293.8172141,1086065410.9563508,8978908834.223078,6392119.118391419,660927007117.4504,9537.325529155889,1128.179411257108,91.69482723567248,3284234436.525253,46955256.802586466,358705.1415606997,181815.01534229008,840997956.3025355,7.024106026126848,1730303.93188138,5905202.77258179,6778057.613965029,181314970.54858398
SPS,2022,Ferronickel,Solar PV,1961195.4120010976,2093765.6456597107,24957224.01889029,9079.433305061855,762641648.0446752,33.895885955389424,0.014755088475286093,0.5576759760623493,12321090.970989715,51968.219640742136,369.7150740865857,202.9144773445782,394155.464807264,0.029999221233970665,2265.669486250222,4584.313982500017,9403.223187906766,588361.6940317154
SPS,2030,Ferronickel,Solar PV,2429017.975237191,2594003.09917311,30932159.42877776,11303.691931627876,999697134.7601293,46.466947475608706,0.020114612122347705,0.751067561307058,15225566.57384882,72640.06381154254,538.807574626692,262.3227342025688,534348.0081028707,0.0395094097144279,2846.546095665027,5762.608915752443,11714.908054370913,721299.245595932
SPS,2040,Ferronickel,Solar PV,2317620.5772028784,2474413.7907515964,29369071.70142539,10834.05022551345,1018423629.3126034,50.15884223896114,0.021651697634324712,0.7908523911899508,14568451.404329177,78472.41128103295,618.999853820277,267.15144420106776,568057.8917021938,0.042204470693836156,2851.6967999779727,5692.593414719429,11244.896346592875,703123.5889439583
SPS,2050,Ferronickel,Solar PV,2760600.512205227,2943596.726321007,34604864.33541013,13032.110221353736,1278370146.068164,66.47277200772675,0.028109777507042848,1.013340967360034,16149402.968174504,115783.18989715977,833.0619648173131,337.0884185441778,737022.2426020475,0.053479058618182355,3580.6269472580843,7016.842148803999,13543.855383806835,859339.1839933395
SPS,2022,Ferronickel,Wind,284245752.01601344,303459811.7321646,3617173926.714046,1315927.1798638636,110533426419.7585,4912.698415813558,2.1385279580280026,80.8267377269486,1785756660.083775,7532011.1307235155,53584.634464431154,29409.398907823983,57126901.1847454,4.3479355230818415,328374.6856626701,664427.3015628072,1362855.649194984,85274170.61865234
SPS,2030,Ferronickel,Wind,354786371.7409037,378884371.0596333,4518002223.83106,1651035.887170654,146017412344.05273,6787.038988106553,2.9379734224348684,109.70216677066887,2223871365.920187,10609927.52851425,78699.12302713667,38315.291217141006,78047751.38532433,5.770809547359674,415771.21765663894,841696.1627391631,1711098.7922939146,105354157.48016357
SPS,2040,Ferronickel,Wind,293326472.5547506,313170790.776276,3717056315.915056,1371196.7210639245,128895391114.10947,6348.285136103494,2.7403174421084096,100.09314919839517,1843836089.0696833,9931753.204276156,78342.86829302435,33811.656461896506,71895468.66251658,5.341551001244686,360921.097854054,720475.2850629727,1423194.8974023801,88989873.55499268
